blank,k,E,EF
,0.8707,-30.6822,
,0.8774,-30.6804,
,0.884,-30.679,
,0.8907,-30.6783,
,0.8974,-30.6783,
,0.904,-30.679,
,0.9107,-30.6794,
,0.924,-30.6779,
,0.9374,-30.6768,
,0.9507,-30.678,
,0.964,-30.6802,
,0.9774,-30.6825,
,0.9907,-30.6846,
,1.004,-30.6863,
,1.0174,-30.6876,
,1.0307,-30.6883,
,1.044,-30.6883,
,1.0574,-30.6877,
,1.0707,-30.6863,
,1.084,-30.6841,
,1.0974,-30.6812,
,1.1107,-30.6775,
,1.124,-30.673,
,1.1374,-30.6677,
,1.1507,-30.6617,
,1.164,-30.6549,
,1.1774,-30.6474,
,1.1907,-30.6393,
,1.204,-30.6304,
,1.2174,-30.6211,
,1.2307,-30.6112,
,1.244,-30.6008,
,1.2574,-30.59,
,1.2707,-30.5789,
,1.284,-30.5675,
,1.2974,-30.5559,
,1.3107,-30.5442,
,1.324,-30.5325,
,1.3374,-30.5207,
,1.3507,-30.5091,
,1.364,-30.4976,
,1.3774,-30.4864,
,1.3907,-30.4755,
,1.404,-30.465,
,1.4174,-30.4548,
,1.4307,-30.4453,
,1.444,-30.4362,
,1.4574,-30.4278,
,1.4707,-30.42,
,1.484,-30.4129,
,1.4974,-30.4065,
,1.5107,-30.4016,
,1.524,-30.3996,
,1.5374,-30.3985,
,1.5507,-30.3978,
,1.564,-30.3974,
,1.5774,-30.3972,
,,,
,0,-30.3836,
,0.0115,-30.3842,
,0.0231,-30.3859,
,0.0346,-30.3887,
,0.0462,-30.3922,
,0.0577,-30.3964,
,0.0693,-30.4008,
,0.0808,-30.402,
,0.0924,-30.4035,
,0.1039,-30.4051,
,0.1155,-30.4068,
,0.127,-30.4088,
,0.1386,-30.4109,
,0.1501,-30.4131,
,0.1617,-30.4155,
,0.1732,-30.418,
,0.1848,-30.4206,
,0.1963,-30.4234,
,0.2078,-30.4262,
,0.2194,-30.4291,
,0.2309,-30.4321,
,0.2425,-30.4352,
,0.254,-30.4383,
,0.2656,-30.4414,
,0.2771,-30.4446,
,0.2887,-30.4478,
,0.3002,-30.451,
,0.3118,-30.4542,
,0.3233,-30.4573,
,0.3349,-30.4604,
,0.3464,-30.4634,
,0.358,-30.4664,
,0.3695,-30.4693,
,0.3811,-30.4722,
,0.3926,-30.4749,
,0.4041,-30.4775,
,0.4157,-30.48,
,0.4272,-30.4824,
,0.4388,-30.4846,
,0.4503,-30.4867,
,0.4619,-30.4887,
,0.4734,-30.4904,
,0.485,-30.492,
