k,E,EF
0.0526,-20.9292,
0.0701,-20.9309,
0.0876,-20.9325,
0.1051,-20.9337,
0.1226,-20.9345,
0.1401,-20.9349,
0.1577,-20.9352,
0.1752,-20.9355,
0.1927,-20.9356,
0.2102,-20.9358,
0.2277,-20.9359,
0.2452,-20.936,
0.2628,-20.9361,
0.2803,-20.9362,
0.2978,-20.9364,
0.3153,-20.9365,
0.3328,-20.9367,
0.3504,-20.9369,
0.3679,-20.9372,
0.3854,-20.9376,
0.4029,-20.9383,
0.4204,-20.9396,
0.4379,-20.9428,
0.4555,-20.948,
0.473,-20.9541,
0.4905,-20.9605,
0.508,-20.9669,
0.5255,-20.9734,
0.543,-20.9799,
0.5606,-20.9863,
0.5781,-20.9927,
0.5956,-20.999,
0.6131,-21.0051,
0.6306,-21.0109,
0.6481,-21.0163,
0.6657,-21.0213,
0.6832,-21.0258,
0.7007,-21.03,
0.7182,-21.0337,
0.7357,-21.0372,
0.7533,-21.0405,
0.7708,-21.0435,
0.7883,-21.0465,
0.8058,-21.0493,
0.8233,-21.052,
0.8408,-21.0545,
0.8584,-21.0569,
0.8759,-21.0591,
0.8934,-21.0612,
0.9109,-21.0631,
0.9284,-21.0648,
0.9459,-21.0662,
0.9635,-21.0675,
0.981,-21.0685,
0.9985,-21.0692,
1.016,-21.0696,
1.0335,-21.0697,
,,
0,-20.8299,
0.0175,-20.8296,
0.035,-20.8288,
0.0526,-20.8276,
0.0701,-20.8261,
0.0876,-20.8244,
0.1051,-20.8229,
0.1226,-20.822,
0.1401,-20.8225,
0.1577,-20.825,
0.1752,-20.8296,
0.1927,-20.8358,
0.2102,-20.8429,
0.2277,-20.8504,
0.2452,-20.8582,
0.2628,-20.8659,
0.2803,-20.8737,
0.2978,-20.8814,
0.3153,-20.889,
0.3328,-20.8964,
0.3504,-20.9037,
0.3679,-20.9109,
0.3854,-20.9178,
0.4029,-20.9244,
0.4204,-20.9302,
0.4379,-20.9341,
0.4555,-20.9359,
0.473,-20.9369,
0.4905,-20.9376,
0.508,-20.9383,
0.5255,-20.939,
0.543,-20.9398,
0.5606,-20.9406,
0.5781,-20.9414,
0.5956,-20.9419,
0.6131,-20.9423,
0.6306,-20.9422,
0.6481,-20.9417,
0.6657,-20.9409,
0.6832,-20.9397,
0.7007,-20.9385,
0.7182,-20.9374,
0.7357,-20.9364,
0.7533,-20.9357,
0.7708,-20.9353,
0.7883,-20.9349,
0.8058,-20.9347,
0.8233,-20.9345,
0.8408,-20.9344,
0.8584,-20.9343,
0.8759,-20.9343,
0.8934,-20.9342,
0.9109,-20.9342,
0.9284,-20.9342,
0.9459,-20.9341,
0.9635,-20.9341,
0.981,-20.9341,
0.9985,-20.9341,
1.016,-20.9341,
1.0335,-20.9341,
,,
0,-20.751,
0.0175,-20.7523,
0.035,-20.7558,
0.0526,-20.7611,
0.0701,-20.7673,
0.0876,-20.7741,
0.1051,-20.781,
0.1226,-20.7873,
0.1401,-20.7926,
0.1577,-20.796,
0.1752,-20.7977,
0.1927,-20.7984,
0.2102,-20.7991,
0.2277,-20.8005,
0.2452,-20.803,
0.2628,-20.8068,
0.2803,-20.8118,
0.2978,-20.8177,
0.3153,-20.8244,
0.3328,-20.8316,
0.3504,-20.8391,
0.3679,-20.8468,
0.3854,-20.8546,
0.4029,-20.8624,
0.4204,-20.87,
0.4379,-20.8775,
0.4555,-20.8847,
0.473,-20.8915,
0.4905,-20.8978,
0.508,-20.9036,
0.5255,-20.9087,
0.543,-20.9131,
0.5606,-20.9167,
0.5781,-20.9195,
0.5956,-20.9216,
0.6131,-20.9231,
0.6306,-20.9241,
0.6481,-20.9246,
0.6657,-20.9245,
0.6832,-20.924,
0.7007,-20.9228,
0.7182,-20.9208,
0.7357,-20.9181,
0.7533,-20.9146,
0.7708,-20.9105,
0.7883,-20.9058,
0.8058,-20.9007,
0.8233,-20.8952,
0.8408,-20.8894,
0.8584,-20.8834,
0.8759,-20.8772,
0.8934,-20.8708,
0.9109,-20.8642,
0.9284,-20.8576,
0.9459,-20.8509,
0.9635,-20.8442,
0.981,-20.8375,
0.9985,-20.8313,
1.016,-20.8261,
1.0335,-20.8238,
,,
0,-20.688,
0.0175,-20.6874,
0.035,-20.6858,
0.0526,-20.6845,
0.0701,-20.6846,
0.0876,-20.6868,
0.1051,-20.6907,
0.1226,-20.6959,
0.1401,-20.7017,
0.1577,-20.7077,
0.1752,-20.7136,
0.1927,-20.719,
0.2102,-20.7235,
0.2277,-20.7268,
0.2452,-20.7287,
0.2628,-20.7291,
0.2803,-20.7281,
0.2978,-20.726,
0.3153,-20.723,
0.3328,-20.7192,
0.3504,-20.715,
0.3679,-20.7104,
0.3854,-20.7056,
0.4029,-20.7005,
0.4204,-20.6954,
0.4379,-20.6902,
0.4555,-20.685,
0.473,-20.6798,
0.4905,-20.6749,
0.508,-20.6701,
0.5255,-20.6657,
0.543,-20.6618,
0.5606,-20.6586,
0.5781,-20.6562,
0.5956,-20.6549,
0.6131,-20.6548,
0.6306,-20.656,
0.6481,-20.6585,
0.6657,-20.6622,
0.6832,-20.6668,
0.7007,-20.6721,
0.7182,-20.6781,
0.7357,-20.6845,
0.7533,-20.6913,
0.7708,-20.6983,
0.7883,-20.7056,
0.8058,-20.7129,
0.8233,-20.7204,
0.8408,-20.728,
0.8584,-20.7356,
0.8759,-20.7432,
0.8934,-20.7508,
0.9109,-20.7584,
0.9284,-20.766,
0.9459,-20.7735,
0.9635,-20.7808,
0.981,-20.7879,
0.9985,-20.7945,
1.016,-20.7999,
1.0335,-20.8023,
,,
0,-20.6434,
0.0175,-20.6435,
0.035,-20.6436,
0.0526,-20.643,
0.0701,-20.6407,
0.0876,-20.6364,
0.1051,-20.6304,
0.1226,-20.6233,
0.1401,-20.6155,
0.1577,-20.6076,
0.1752,-20.6,
0.1927,-20.593,
0.2102,-20.5873,
0.2277,-20.5829,
0.2452,-20.5798,
0.2628,-20.5775,
0.2803,-20.5759,
0.2978,-20.5746,
0.3153,-20.5736,
0.3328,-20.5728,
0.3504,-20.5722,
0.3679,-20.5716,
0.3854,-20.5712,
0.4029,-20.5709,
0.4204,-20.5706,
0.4379,-20.5706,
0.4555,-20.5706,
0.473,-20.5708,
0.4905,-20.5713,
0.508,-20.5719,
0.5255,-20.5728,
0.543,-20.5738,
0.5606,-20.5748,
0.5781,-20.5757,
0.5956,-20.5762,
0.6131,-20.576,
0.6306,-20.5749,
0.6481,-20.5731,
0.6657,-20.5705,
0.6832,-20.5673,
0.7007,-20.5638,
0.7182,-20.5602,
0.7357,-20.5568,
0.7533,-20.5538,
0.7708,-20.5513,
0.7883,-20.5492,
0.8058,-20.5477,
0.8233,-20.5464,
0.8408,-20.5454,
0.8584,-20.5445,
0.8759,-20.5438,
0.8934,-20.5432,
0.9109,-20.5427,
0.9284,-20.5423,
0.9459,-20.542,
0.9635,-20.5417,
0.981,-20.5415,
0.9985,-20.5413,
1.016,-20.5412,
1.0335,-20.5412,
,,
0,-20.5683,
0.0175,-20.5683,
0.035,-20.5681,
0.0526,-20.5679,
0.0701,-20.5675,
0.0876,-20.567,
0.1051,-20.5664,
0.1226,-20.5655,
0.1401,-20.5642,
0.1577,-20.5625,
0.1752,-20.5601,
0.1927,-20.5566,
0.2102,-20.5517,
0.2277,-20.5452,
0.2452,-20.5374,
0.2628,-20.5286,
0.2803,-20.5193,
0.2978,-20.5095,
0.3153,-20.4998,
0.3328,-20.4903,
0.3504,-20.4818,
0.3679,-20.4763,
0.3854,-20.4763,
0.4029,-20.4806,
0.4204,-20.4866,
0.4379,-20.4931,
0.4555,-20.4997,
0.473,-20.506,
0.4905,-20.5121,
0.508,-20.5176,
0.5255,-20.5225,
0.543,-20.5267,
0.5606,-20.5302,
0.5781,-20.5329,
0.5956,-20.5349,
0.6131,-20.5363,
0.6306,-20.5371,
0.6481,-20.5374,
0.6657,-20.5373,
0.6832,-20.5368,
0.7007,-20.5358,
0.7182,-20.5342,
